Hour,Baseline (kWh),New HP
335,3.038785,2.462302
336,2.59845,2.248532
337,3.334336,2.753253
338,2.941232,2.433866
339,2.885334,2.476272
340,3.0244250000000004,2.572409
341,3.137403,2.686295
342,3.40363,3.11654
343,4.22768,3.5969830000000003
344,4.014741,3.6919630000000003
345,8.129934,7.434085
346,4.097819,3.631218
347,3.38266,2.899274
348,2.793137,2.360337
349,3.3318760000000003,2.9289720000000004
350,2.073248,1.74342
351,1.851259,1.568829
352,1.691147,1.448979
353,2.132731,1.918836
354,2.284823,1.935942
355,3.374244,3.110406
356,2.722091,2.438597
357,2.541005,2.249249
358,2.596849,2.265185
359,2.990903,2.641526
360,2.468217,2.101569
361,2.7447310000000003,2.269636
362,2.436379,2.18133
363,3.0159670000000003,2.428959
364,2.655431,2.34449
365,3.1637779999999998,2.5912689999999996
366,3.174939,2.701431
367,3.591629,3.31293
368,4.133474,3.592252
369,3.618271,2.886158
370,3.006788,2.502894
371,3.065021,2.526621
372,2.408275,1.9322439999999999
373,2.105849,1.716693
374,1.896382,1.5563030000000002
375,2.10285,1.82224
376,1.552891,1.357551
377,2.138517,1.8633810000000002
378,2.1492600000000004,1.803798
379,2.14604,1.864366
380,2.491289,2.2444450000000002
381,2.159598,1.855427
382,2.51242,2.197154
383,2.05102,1.661292
384,1.893069,1.4836479999999999
385,1.738619,1.40159
386,1.836756,1.366214
387,1.8643299999999998,1.3787129999999999
388,2.226659,1.61623
389,1.905733,1.481091
390,2.074862,1.542652
391,3.356874,2.719593
392,2.840236,2.339759
393,3.340802,2.851284
394,2.962991,2.450004
395,3.6908429999999997,3.177464
396,3.006396,2.394931
397,3.078019,2.714055
398,3.280404,2.6128760000000004
399,2.717304,2.406147
400,2.534577,2.0846430000000002
401,2.883787,2.233017
402,3.322428,2.9572689999999997
403,2.930281,2.435413
404,3.84673,3.260189
405,2.695799,2.2979000000000003
406,2.444297,2.146881
407,3.482606,3.03777
408,3.5096149999999997,3.0545720000000003
409,1.882047,1.456086
410,1.868282,1.423562
411,2.266949,1.813915
412,1.85542,1.394126
413,1.879566,1.4158309999999998
414,1.903482,1.455742
415,2.720637,2.158817
416,4.691658,4.198728
417,3.7838380000000003,3.481286
418,3.467451,2.988019
419,2.384913,1.867646
420,2.0964650000000002,1.706691
421,2.3919580000000003,2.036037
422,2.271461,1.9547860000000001
423,2.819989,2.499328
424,1.772362,1.449046
425,3.541996,3.277096
426,3.189491,2.836897
427,5.226941,4.987737
428,7.266489,7.097954
429,2.08779,1.856522
430,1.7498989999999999,1.526106
431,1.818406,1.532515
432,1.621983,1.305133
433,1.359802,1.029026
434,1.3689090000000002,1.007605
435,1.787506,1.371933
436,1.26446,0.947956
437,1.392953,0.9773339999999999
438,1.283143,0.998622
439,2.077051,1.650859
440,2.961856,2.725366
441,1.894949,1.5824960000000001
442,2.107034,1.8524909999999999
443,2.588189,2.338794
444,1.97553,1.8071700000000002
445,1.86686,1.735786
446,1.769708,1.659628
447,1.2873119999999998,1.186337
448,1.262424,1.191962
449,1.354931,1.255097
450,1.982075,1.86984
451,1.588344,1.5083
452,1.899384,1.844939
453,1.918169,1.842842
454,1.371796,1.291702
455,1.552261,1.4534580000000001
456,0.975028,0.865512
457,0.947634,0.757736
458,0.885429,0.715955
459,0.891808,0.702714
460,0.939569,0.720775
461,0.9713229999999999,0.763983
462,1.083797,0.852739
463,1.817691,1.537628
464,5.114817,4.921718
465,1.900558,1.720336
466,2.540034,2.287263
467,3.2423270000000004,3.0265120000000003
468,1.994653,1.815191
469,1.874708,1.753843
470,3.003955,2.913448
471,2.059767,2.0123510000000002
472,1.2079659999999999,1.139224
473,1.2395129999999999,1.169306
474,1.936439,1.833654
475,1.549014,1.470869
476,1.962836,1.867797
477,2.527567,2.4168380000000003
478,1.509157,1.358252
479,1.39332,1.197547
480,2.7516819999999997,2.543623
481,1.275047,0.989026
482,1.75036,1.425103
483,1.452624,1.091862
484,1.509626,1.114862
485,1.603565,1.221845
486,1.813372,1.379272
487,3.173783,2.688079
488,2.098524,1.783877
489,7.288354999999999,7.064941
490,5.718489,5.27903
491,2.425465,1.912525
492,2.211727,1.8121720000000001
493,2.4806,2.113151
494,1.883326,1.568448
495,1.724574,1.44356
496,1.7513,1.469104
497,1.764238,1.516267
498,2.662191,2.289121
499,2.174444,1.928763
500,3.070431,2.811204
501,3.410707,3.050428
502,2.224519,1.99
503,4.010915,3.5553649999999997
504,2.990096,2.623665
505,2.2044200000000003,1.761863
506,2.1003879999999997,1.806635
507,2.4919000000000002,1.8680530000000002
508,2.458363,1.962415
509,2.520191,2.055623
510,2.688796,2.1817979999999997
511,3.216972,2.828151
512,3.360738,3.009377
513,3.243957,2.538005
514,4.002207,3.462883
515,5.012084,4.427165999999999
516,3.162613,2.664717
517,3.056677,2.54558
518,2.441447,1.9988620000000001
519,2.1441149999999998,1.829989
520,2.593513,2.180462
521,2.356832,1.973726
522,2.814167,2.407874
523,4.015823,3.759477
524,3.148631,2.907049
525,3.222676,2.950703
526,3.216704,2.894426
527,3.2355270000000003,2.8661570000000003
528,2.426663,2.1935569999999998
529,2.932284,2.4310210000000003
530,2.658246,2.368901
531,3.238378,2.789974
532,3.0096930000000004,2.353491
533,2.706718,2.4554630000000004
534,2.991467,2.540668
535,3.556563,3.114732
536,3.453058,2.937971
537,4.794251,4.0794250000000005
538,3.123105,2.671399
539,2.674786,2.1284720000000004
540,2.234759,1.813496
541,2.052949,1.685885
542,2.788835,2.445605
543,1.734046,1.438254
544,2.010682,1.801612
545,1.689534,1.4266969999999999
546,2.102684,1.7765730000000002
547,2.084975,1.864164
548,2.999194,2.767119
549,3.0244020000000003,2.776337
550,2.271382,1.972258
551,2.15173,1.79031
552,2.108926,1.709992
553,2.571963,2.1623930000000002
554,2.121624,1.768252
555,2.35247,1.887503
556,2.265518,1.869918
557,2.49763,2.054709
558,2.448591,2.123359
559,3.6213800000000003,3.189482
560,3.2818020000000003,2.554537
561,3.646231,3.162276
562,4.834095,4.444193
563,2.599055,2.123323
564,2.3042559999999996,1.9805760000000001
565,1.838009,1.510797
566,1.637771,1.412518
567,1.691333,1.3773900000000001
568,1.609415,1.356604
569,2.062415,1.828864
570,2.056132,1.725541
571,4.91978,4.739626
572,2.0072960000000006,1.794809
573,1.885865,1.653093
574,2.253563,1.9933830000000001
575,3.77911,3.542833
576,1.845812,1.540929
577,1.514181,1.18543
578,1.594417,1.2291489999999998
579,1.575191,1.231038
580,1.6663620000000001,1.285978
581,1.889384,1.484199
582,1.865591,1.537833
583,2.46921,1.9936189999999998
584,2.445852,1.964288
585,2.8235479999999997,2.382249
586,2.961783,2.4114940000000002
587,2.893114,2.474033
588,2.465814,1.898786
589,2.1396439999999997,1.74992
590,2.090752,1.667732
591,1.958305,1.626295
592,2.0302029999999998,1.623701
593,3.473157,3.0169140000000003
594,3.85792,3.492171
595,2.715528,2.4470859999999997
596,2.951757,2.446311
597,2.643327,2.298496
598,2.7881080000000003,2.3712
599,2.6278180000000004,2.217407
600,3.2566930000000003,2.735191
601,3.02227,2.484002
602,3.217226,2.6788649999999996
603,3.213431,2.748826
604,3.170725,2.749784
605,3.41054,2.901221
606,3.34996,2.974521
607,4.301761000000001,4.046077
608,4.376618000000001,3.884668
609,3.9339690000000003,3.289332
610,7.080755,6.56738
611,7.423303,6.990527
612,4.53718,4.057872
613,7.92913,7.644568
614,3.949198,3.583817
615,3.6333919999999997,3.223738
616,3.076004,2.644723
617,3.082046,2.677454
618,3.300974,2.815951
619,3.171978,2.795698
620,3.5234870000000003,3.185114
621,3.173235,2.799153
622,3.174689,2.80856
623,3.167293,2.772463
624,3.150022,2.75725
625,2.904769,2.752085
626,3.251796,2.841952
627,3.994428,3.341477
628,3.248959,3.0432020000000004
629,3.549342,3.038325
630,3.9598850000000003,3.308225
631,5.269373,4.699481
632,4.016005,3.728697
633,5.415681,4.623358
634,6.658883,6.212726
